City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,ancud,-41.8697,-73.8203,11.76,93,100,5.15,CL,1689791468
223,bodaybo,57.8506,114.1933,10.42,97,100,1.44,RU,1689791468
224,dryden,49.7833,-92.7503,16.16,94,100,2.06,CA,1689791211
225,pocatello,42.8713,-112.4455,33.43,35,0,4.63,US,1689791469
226,moussoro,13.6408,16.4901,33.95,37,100,4.56,TD,1689791470
227,waingapu,-9.6567,120.2641,21.78,83,10,3.56,ID,1689791091
228,saldanha,-33.0117,17.9442,10.03,65,4,11.07,ZA,1689791238
229,aasiaat,68.7098,-52.8699,4.43,99,100,2.69,GL,1689791090
230,cedar falls,42.5278,-92.4455,29.01,57,0,5.66,US,1689791471
231,kingston,17.997,-76.7936,33.53,64,20,11.32,JM,1689790909
232,kalmunai,7.4167,81.8167,27.72,62,47,3.27,LK,1689791232
233,puerto carreno,6.189,-67.4859,29.99,66,40,1.54,CO,1689791357
234,susuman,62.7833,148.1667,15.19,65,66,1.97,RU,1689791123
235,kapa'a,22.0752,-159.319,27.18,82,100,9.77,US,1689791209
236,ozalp,38.6548,43.993,17.47,58,60,1.62,TR,1689791474
237,kangding,30.0513,101.9603,14.55,93,99,1.13,CN,1689791223
238,mejit,10.2753,170.8646,28.01,82,62,9.14,MH,1689791179
239,aoulef,26.9667,1.0833,40.31,7,0,10.67,DZ,1689791476
240,san carlos,9.6612,-68.5827,27.03,90,99,2.3,VE,1689791477
241,tofol,5.3248,163.0078,28.48,69,100,4.15,FM,1689791477
242,alice springs,-23.7,133.8833,8.75,76,75,1.03,AU,1689791031
243,elko,41.0002,-115.5012,29.24,35,96,3.58,US,1689791478
244,sogndal,61.2283,7.1003,12.21,87,75,3.6,NO,1689791478
245,selfoss,63.9331,-20.9971,16.69,59,23,4.93,IS,1689791479
246,wasagu,11.3764,5.7954,26.38,70,100,3.41,NG,1689791479
247,road town,18.4167,-64.6167,32.05,70,40,5.14,VG,1689791277
248,kidal,18.4411,1.4078,39.15,13,33,4.32,ML,1689791481
249,pyay,18.8167,95.2167,25.88,86,86,2.57,MM,1689791239
250,temiskaming shores,47.4938,-79.7153,19.89,46,100,1.16,CA,1689791482
251,rapar,23.5667,70.6333,29.22,74,100,4.79,IN,1689791483
252,luanda,-8.8368,13.2343,22.0,83,3,2.57,AO,1689791194
253,glace bay,46.1969,-59.957,27.66,84,75,7.2,CA,1689791484
254,inarajan village,13.2736,144.7484,28.54,88,99,4.67,GU,1689791484
255,koungou,-12.7336,45.2042,23.84,78,0,2.57,YT,1689791485
256,nyandoma,61.669,40.1991,15.56,98,71,2.21,RU,1689791010
257,micheweni,-4.9667,39.8333,23.86,79,6,4.8,TZ,1689791485
258,cestos city,5.46,-9.5828,24.94,90,100,4.01,LR,1689791486
259,santa ana,33.7456,-117.8678,38.0,52,0,2.57,US,1689791456
260,karpinsk,59.7654,60.0085,14.61,97,58,1.91,RU,1689791487
261,kismayo,-0.3582,42.5454,25.2,76,8,7.74,SO,1689791487
